,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,0.801,0.505,11,-5.829,1,0.293,0.0446,9.52e-06,0.122,0.757,161.059,audio_features,1jkEorRvoRQNo1WZfD1X5q,spotify:track:1jkEorRvoRQNo1WZfD1X5q,https://api.spotify.com/v1/tracks/1jkEorRvoRQNo1WZfD1X5q,https://api.spotify.com/v1/audio-analysis/1jkEorRvoRQNo1WZfD1X5q,156443,4
11,0.788,0.49,8,-6.287,1,0.511,0.313,0.0,0.0968,0.79,177.865,audio_features,3AaiEsiqHO2ylnnOdWninE,spotify:track:3AaiEsiqHO2ylnnOdWninE,https://api.spotify.com/v1/tracks/3AaiEsiqHO2ylnnOdWninE,https://api.spotify.com/v1/audio-analysis/3AaiEsiqHO2ylnnOdWninE,197528,4
12,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,audio_features,4SSnFejRGlZikf02HLewEF,spotify:track:4SSnFejRGlZikf02HLewEF,https://api.spotify.com/v1/tracks/4SSnFejRGlZikf02HLewEF,https://api.spotify.com/v1/audio-analysis/4SSnFejRGlZikf02HLewEF,193143,4
13,0.528,0.797,4,-7.487,1,0.0485,0.000391,0.011,0.14,0.751,143.785,audio_features,3MtGstTnbaZaVOLcfpuiiE,spotify:track:3MtGstTnbaZaVOLcfpuiiE,https://api.spotify.com/v1/tracks/3MtGstTnbaZaVOLcfpuiiE,https://api.spotify.com/v1/audio-analysis/3MtGstTnbaZaVOLcfpuiiE,136562,4
14,0.516,0.358,8,-12.018,0,0.424,0.741,1.34e-06,0.0813,0.397,79.509,audio_features,0sHFw13WH3LtSB3yP8UMYJ,spotify:track:0sHFw13WH3LtSB3yP8UMYJ,https://api.spotify.com/v1/tracks/0sHFw13WH3LtSB3yP8UMYJ,https://api.spotify.com/v1/audio-analysis/0sHFw13WH3LtSB3yP8UMYJ,124000,4
15,0.408,0.563,9,-5.97,0,0.0375,0.0473,0.0,0.0781,0.558,118.565,audio_features,1uRKeDUiD4fDUEAjXbmYr6,spotify:track:1uRKeDUiD4fDUEAjXbmYr6,https://api.spotify.com/v1/tracks/1uRKeDUiD4fDUEAjXbmYr6,https://api.spotify.com/v1/audio-analysis/1uRKeDUiD4fDUEAjXbmYr6,185316,3
16,0.731,0.804,11,-7.621,0,0.0473,0.172,0.00028,0.0685,0.957,107.383,audio_features,7GVUmCP00eSsqc4tzj1sDD,spotify:track:7GVUmCP00eSsqc4tzj1sDD,https://api.spotify.com/v1/tracks/7GVUmCP00eSsqc4tzj1sDD,https://api.spotify.com/v1/audio-analysis/7GVUmCP00eSsqc4tzj1sDD,205933,4
17,0.56,0.674,10,-6.048,1,0.0446,0.698,0.0,0.123,0.421,119.942,audio_features,0X3a2iLqyGMYi4g2WtUaXu,spotify:track:0X3a2iLqyGMYi4g2WtUaXu,https://api.spotify.com/v1/tracks/0X3a2iLqyGMYi4g2WtUaXu,https://api.spotify.com/v1/audio-analysis/0X3a2iLqyGMYi4g2WtUaXu,197933,4
18,0.734,0.626,7,-5.685,1,0.0458,0.076,6.54e-06,0.168,0.44,98.559,audio_features,6t44iU80A0h8WQ7vc4OoRj,spotify:track:6t44iU80A0h8WQ7vc4OoRj,https://api.spotify.com/v1/tracks/6t44iU80A0h8WQ7vc4OoRj,https://api.spotify.com/v1/audio-analysis/6t44iU80A0h8WQ7vc4OoRj,235707,4
19,0.768,0.683,7,-7.173,1,0.0604,0.388,0.0,0.286,0.669,99.955,audio_features,2waLDWGLc4Q14ZVyDNrxLM,spotify:track:2waLDWGLc4Q14ZVyDNrxLM,https://api.spotify.com/v1/tracks/2waLDWGLc4Q14ZVyDNrxLM,https://api.spotify.com/v1/audio-analysis/2waLDWGLc4Q14ZVyDNrxLM,178144,4
20,0.688,0.816,10,-8.494,0,0.259,0.409,0.00311,0.338,0.743,155.936,audio_features,5E0zmXN9E5gJREtMadj0rd,spotify:track:5E0zmXN9E5gJREtMadj0rd,https://api.spotify.com/v1/tracks/5E0zmXN9E5gJREtMadj0rd,https://api.spotify.com/v1/audio-analysis/5E0zmXN9E5gJREtMadj0rd,202427,4
